timestamp,open,high,low,close,volume
1704067200000,40092.20418938206,40131.603395127466,40064.19081952981,40097.98999713944,8.045444240247178
1704067260000,40062.654429211674,40069.294790305794,40060.49377564426,40063.135812776716,12.90854701392595
1704067320000,40072.57728388398,40080.80428095711,40050.16609778661,40075.7991660465,9.589683472468398
1704067380000,40057.02913601294,40066.83341494454,40027.07365226473,40040.04019524762,8.515669959187116
1704067440000,40165.41338576454,40183.22238543393,40142.421697549165,40180.414627683545,12.938717539800571
1704067500000,40094.47706282758,40124.18900985094,40076.59889791536,40081.81758015526,10.31269793820796
1704067560000,40172.87299792177,40177.4075391804,40141.24763678383,40156.97593125984,7.15996412564205
1704067620000,40049.805147238214,40056.37626176238,40006.408941067624,40025.200871468376,11.55498071166382
1704067680000,40048.936400391736,40054.739937859624,40034.4470605184,40042.10913758194,7.638735631755176
1704067740000,40150.63431061904,40155.17138908514,40137.501332732354,40147.01616413757,9.274517668025723
1704067800000,40126.37879439387,40152.27303342885,40119.18147105503,40121.84286318884,9.196438127583477
1704067860000,40102.370740671264,40103.14992160821,40077.73357603951,40088.66993447217,10.257965821514821
1704067920000,40239.33094717796,40265.97477315737,40226.26898994023,40255.702621793265,8.842300670471168
1704067980000,40194.93321016784,40208.44560747215,40175.735121741745,40182.720058337705,6.9275126274455525
1704068040000,40318.327441728085,40321.02631426527,40295.095056356724,40311.15634567938,12.108903453862274
1704068100000,40231.778372657274,40246.42795820453,40216.2911757766,40221.63667173422,11.413146336383896
1704068160000,40272.58698144075,40278.61682189242,40227.750136972885,40255.99739742873,7.304481877715107
1704068220000,40214.58107685427,40243.735394639014,40186.951591010155,40193.15587572155,8.505090377118485
1704068280000,40393.27348593589,40410.73459749994,40380.35510066007,40397.14392762581,13.820129906198067
1704068340000,40290.54184788978,40294.31495500591,40281.33065733458,40291.98980360955,11.844413343133054
1704068400000,40317.01217018681,40350.88434828502,40306.593652290845,40330.98855983472,9.70073091934466
1704068460000,40318.843803317555,40324.95573086117,40295.525372486205,40307.07411360289,11.078498382583634
1704068520000,40301.27659267511,40311.42309209931,40285.950964059346,40294.59982630857,9.58340248884401
1704068580000,40355.73889058534,40362.3297661043,40349.256827314995,40351.756929745585,11.270062873784212
1704068640000,40487.28007906286,40504.0353233843,40448.96845078085,40468.70706193852,9.076830790370582
1704068700000,40383.80977354829,40396.20635162817,40357.75201024492,40359.228798111304,8.673043427275786
